Country Name,Country Code,Time,Time Code,GDP per capita (current US$) [NY.GDP.PCAP.CD]
United States,USA,1991,YR1991,24342.2589048189
United States,USA,1992,YR1992,25418.9907763319
United States,USA,1993,YR1993,26387.2937338171
United States,USA,1994,YR1994,27694.853416234
United States,USA,1995,YR1995,28690.8757013347
United States,USA,1996,YR1996,29967.7127181749
United States,USA,1997,YR1997,31459.1299691554
United States,USA,1998,YR1998,32853.6725949234
United States,USA,1999,YR1999,34515.3813073394
United States,USA,2000,YR2000,36329.9702595751
United States,USA,2001,YR2001,37133.6203973517
United States,USA,2002,YR2002,37997.7424300242
United States,USA,2003,YR2003,39490.3023903176
United States,USA,2004,YR2004,41724.6411982614
United States,USA,2005,YR2005,44123.3996470026
United States,USA,2006,YR2006,46301.9876485519
United States,USA,2007,YR2007,48050.227412195
United States,USA,2008,YR2008,48570.0594269601
United States,USA,2009,YR2009,47194.9500893872
United States,USA,2010,YR2010,48650.6643227232
United States,USA,2011,YR2011,50065.9789470675
United States,USA,2012,YR2012,51784.4114692048
United States,USA,2013,YR2013,53409.7507774372
United States,USA,2014,YR2014,55304.3155317137
United States,USA,2015,YR2015,57040.2082136605
United States,USA,2016,YR2016,58206.6141931844
