Country Name,Country Code,Time,Time Code,GDP (current US$) [NY.GDP.MKTP.CD]
Ukraine,UKR,2004,YR2004,67220154164.3166
Ukraine,UKR,2005,YR2005,89238865118.5263
Ukraine,UKR,2006,YR2006,111884752475.248
Ukraine,UKR,2007,YR2007,148733861386.139
Ukraine,UKR,2008,YR2008,188110390659.515
Ukraine,UKR,2009,YR2009,121552153444.124
Ukraine,UKR,2010,YR2010,141209170427.233
Ukraine,UKR,2011,YR2011,169333835201.554
Ukraine,UKR,2012,YR2012,182591753827.949
Ukraine,UKR,2013,YR2013,190498811460.028
Ukraine,UKR,2014,YR2014,133503871861.723
Ukraine,UKR,2015,YR2015,91030967789.0717
Ukraine,UKR,2016,YR2016,93355869403.9223
Ukraine,UKR,2017,YR2017,112090505081.739
Ukraine,UKR,2018,YR2018,130891088293.55
Ukraine,UKR,2019,YR2019,153883047509.577
Ukraine,UKR,2020,YR2020,156617722013.342
Ukraine,UKR,2021,YR2021,199765859570.935
Ukraine,UKR,2022,YR2022,161989520721.19
Ukraine,UKR,2023,YR2023,178757021386.809
Uzbekistan,UZB,2004,YR2004,12030023547.8807
Uzbekistan,UZB,2005,YR2005,14307509838.8053
Uzbekistan,UZB,2006,YR2006,17330833852.919
Uzbekistan,UZB,2007,YR2007,22311393927.8817
Uzbekistan,UZB,2008,YR2008,29549438883.8338
Uzbekistan,UZB,2009,YR2009,33689223673.2577
Uzbekistan,UZB,2010,YR2010,49765676402.4495
Uzbekistan,UZB,2011,YR2011,60178909297.208
Uzbekistan,UZB,2012,YR2012,67517349212.0609
Uzbekistan,UZB,2013,YR2013,73180037914.9104
Uzbekistan,UZB,2014,YR2014,80845385809.4529
Uzbekistan,UZB,2015,YR2015,86196264755.3105
Uzbekistan,UZB,2016,YR2016,86138288644.171
Uzbekistan,UZB,2017,YR2017,62081322740.0162
Uzbekistan,UZB,2018,YR2018,52870108214.6742
Uzbekistan,UZB,2019,YR2019,60283503705.3907
Uzbekistan,UZB,2020,YR2020,60224701296.7885
Uzbekistan,UZB,2021,YR2021,69600614987.3509
Uzbekistan,UZB,2022,YR2022,81140823252.4164
Uzbekistan,UZB,2023,YR2023,90889149306.7313
